Path|Key|Source (EN_UK)|Target (ES)
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/journal/journalreporting-resources|metric-journal-jufo|JuFo {functionality}|!!JuFo {functionality}
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/researchoutput/researchoutputreporting-resources|metric-research-output-fractional-count-internal|Fractional count internal {functionality}|!!Fractional count internal {functionality}
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/researchoutput/researchoutputreporting-resources|metric-research-output-fractional-count-internal-total|Fractional count internal total {functionality}|!!Fractional count internal total {functionality}
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/researchoutput/researchoutputreporting-resources|metric-research-output-fractional-count-external|Fractional count external {functionality}|!!Fractional count external {functionality}
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/researchoutput/researchoutputreporting-resources|metric-research-output-fractional-count-external-total|Fractional count external total {functionality}|!!Fractional count external total {functionality}
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/researchoutput/researchoutputreporting-resources|metric-research-output-fractional-count-internal-only|Fractional count internal only{functionality}|!!Fractional count internal only{functionality}
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/researchoutput/researchoutputreporting-resources|metric-research-output-fractional-count-internal-only-total|Fractional count internal only total {functionality}|!!Fractional count internal only total {functionality}
pure-modules/unifiedprojectmodel-module/templates/bundled/src/main/resources/model/dk/atira/pure/modules/unifiedprojectmodel/external/model/application/application-resources|applicationPeerReviewHistory|Application Peer Review History|!!Application Peer Review History
pure-core/admin/src/main/resources/META-INF/resources/editor/editor-resources|submission-language-header.es_PR|Spanish (Puerto Rico) language fields|!!Spanish (Puerto Rico) language fields
pure-core/admin/src/main/resources/META-INF/resources/messaging/messaging-resources|openaccessuploadreminder-message.title|Open Access electronic file upload reminder|!!Open Access electronic file upload reminder
pure-core/admin/client/components/workspace/tasks/user-task-item/properties/usertaskitem-template-resources|OpenAccessUploadReminder-body-singular|{countAndContent} is potentially Open Access but requires electronic file|!!{countAndContent} is potentially Open Access but requires electronic file
pure-core/admin/client/components/workspace/tasks/user-task-item/properties/usertaskitem-template-resources|OpenAccessUploadReminder-body-plural|{countAndContent} are potentially Open Access but require electronic files|!!{countAndContent} are potentially Open Access but require electronic files
pure-core/admin/client/components/modules/report/properties/report-resources|filter-including-units-below|or any unit below|!!or any unit below
pure-core/core/src/main/resources/model/dk/atira/pure/server/migration/classification/languageclassificationscreationmigrationscript-resources|core.languages.es_PR|Spanish (Puerto Rico)|!!Spanish (Puerto Rico)
pure-core/content-import/src/main/resources/META-INF/resources/configuration/configuration-contentimport-resources|enable.automated.search-Scopus-description|Enable automated search for all Persons with a Scopus author ID. When you enable this search, automated search based on name variant will no longer be possible and the existing name variant search profiles will be removed. Note: It is not possible to enable this search for profiles that are manually curated by a dedicated institutional service.|!!Enable automated search for all Persons with a Scopus author ID. When you enable this search, automated search based on name variant will no longer be possible and the existing name variant search profiles will be removed. Note: It is not possible to enable this search for profiles that are manually curated by a dedicated institutional service.
pure-core/content-import/src/main/resources/META-INF/resources/contentupdate/contentupdate-resources|only-one-job|Note: You can only run one import of Citation and Impact factors at a time (including dry run).|!!Note: You can only run one import of Citation and Impact factors at a time (including dry run).
pure-core/content-import/src/main/resources/META-INF/resources/contentimport/contentimport-resources|organisationbiorxiv|Organisational unit in bioRxiv|!!Organisational unit in bioRxiv
pure-templates/model-templates/src/main/resources/META-INF/resources/contentupdate/contentupdate-templates-resources|scopusCitescoreCategorySubjectMetricsProvider.name|Citescore Category Metrics|!!Citescore Category Metrics
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.modification.date-label|Scopus modification date|!!Scopus modification date
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.modification.date-description|This date limits how far back in time to look for publication changes in Scopus. Should be in the format DD-MM-YYYY (e.g. 24-10-2015)|!!This date limits how far back in time to look for publication changes in Scopus. Should be in the format DD-MM-YYYY (e.g. 24-10-2015)
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.concurrent.threads-label|Number of concurrent threads|!!Number of concurrent threads
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.concurrent.threads-description|The number of threads the job is allowed to use concurrently. Note: Do not change the setting unless you understand its impact. When unsure, contact support for assistance.|!!The number of threads the job is allowed to use concurrently. Note: Do not change the setting unless you understand its impact. When unsure, contact support for assistance.
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.additional.scopus.ids-label|Additional or failed Scopus IDs to process|!!Additional or failed Scopus IDs to process
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.additional.scopus.ids-description|A comma-separated list of Scopus IDs that will be processed in the next job run. The job will collect the Scopus IDs that failed in the current run. The Scopus IDs on the list that will then be successfully processed in the next job run will be cleared from it.|!!A comma-separated list of Scopus IDs that will be processed in the next job run. The job will collect the Scopus IDs that failed in the current run. The Scopus IDs on the list that will then be successfully processed in the next job run will be cleared from it.
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.limit.to.configured.scopus.ids-label|Limit to the Scopus IDs configured above|!!Limit to the Scopus IDs configured above
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.limit.to.configured.scopus.ids-description|Will limit the job to only look at the configured Scopus IDs, disregarding the Scopus modification date.|!!Will limit the job to only look at the configured Scopus IDs, disregarding the Scopus modification date.
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.enable.additional.logging-label|Enable additional logging|!!Enable additional logging
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.force.update.publications-label|Force update/import of all publications|!!Force update/import of all publications
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.force.update.publications-description|Will process all publications from Scopus, disregarding the Scopus modification date and whether or not the publication has already been imported.|!!Will process all publications from Scopus, disregarding the Scopus modification date and whether or not the publication has already been imported.
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.override.manual.changes-label|Overwrite publications with data from Scopus|!!Overwrite publications with data from Scopus
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.override.manual.changes-description|Warning: Will ignore any manually edited data from users and overwrite the publication data in Pure with the current data from Scopus.|!!Warning: Will ignore any manually edited data from users and overwrite the publication data in Pure with the current data from Scopus.
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.update.only.mode-label|Update only mode|!!Update only mode
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.update.only.mode-description|If you enable this mode, the job will only update publications that have been brought into Pure from Scopus. Any new publications will be skipped.|!!If you enable this mode, the job will only update publications that have been brought into Pure from Scopus. Any new publications will be skipped.
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.import.only.mode-label|Import only mode|!!Import only mode
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.import.only.mode-description|If you enable this mode, the job will only import publications that are not yet present in Pure (based on Scopus IDs). Any updates to existing publications will be skipped.|!!If you enable this mode, the job will only import publications that are not yet present in Pure (based on Scopus IDs). Any updates to existing publications will be skipped.
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.default.internal.org-label|Default managing organisation|!!Default managing organisation
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.default.internal.org-description|Specify the UUID of the internal organisation to default to as managing organisation. This organisation is used if there are no internal person matches on the publication during import. Normally, the managing organisation is derived from the associated persons. If there are no matched internal persons, the job needs a fallback organisation.|!!Specify the UUID of the internal organisation to default to as managing organisation. This organisation is used if there are no internal person matches on the publication during import. Normally, the managing organisation is derived from the associated persons. If there are no matched internal persons, the job needs a fallback organisation.
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.limit.to.active.persons-label|Limit to active persons|!!Limit to active persons
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.limit.to.active.persons-description|This will limit the Scopus author IDs to only be fetched from persons with an active organisation association.|!!This will limit the Scopus author IDs to only be fetched from persons with an active organisation association.
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.limit.to.configured.author.ids-label|Scopus author IDs|!!Scopus author IDs
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.limit.to.configured.author.ids-description|A comma-separated list of Scopus author IDs that the job will use when searching Scopus for publications. This should primarily be used for testing.|!!A comma-separated list of Scopus author IDs that the job will use when searching Scopus for publications. This should primarily be used for testing.
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.default.workflow-label|Default workflow state|!!Default workflow state
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.default.workflow-description|Specify the workflow that publications will default to when imported. This state will only be set during the initial import and not during update.|!!Specify the workflow that publications will default to when imported. This state will only be set during the initial import and not during update.
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-openaccess-resources|open-access-upload-reminder-legend|Open Access electronic file upload reminder|!!Open Access electronic file upload reminder
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-openaccess-resources|open-access-upload-reminder-hint|This will enable the task and e-mail for all personal users that notifies them about missing electronic files on research output with potential for Open Access. Note: It will not override any settings the personal user has already set.|!!This will enable the task and e-mail for all personal users that notifies them about missing electronic files on research output with potential for Open Access. Note: It will not override any settings the personal user has already set.
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-openaccess-resources|open-access-upload-reminder-enabled|Set task and weekly digest e-mail for personal users as default|!!Set task and weekly digest e-mail for personal users as default
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-openaccess-resources|open-access-upload-reminder-mail-legend|Custom Open Access electronic file upload reminder e-mail|!!Custom Open Access electronic file upload reminder e-mail
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-openaccess-resources|open-access-upload-reminder-mail-hint|This can be used to customise the e-mail that notifies personal users about missing electronic files by providing context and links to your institution's Open Access policies / recommendations. Note: If the custom title or body is left blank, a generic text will be used.|!!This can be used to customise the e-mail that notifies personal users about missing electronic files by providing context and links to your institution's Open Access policies / recommendations. Note: If the custom title or body is left blank, a generic text will be used.
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-openaccess-resources|open-access-upload-reminder-mail-title|Custom e-mail title|!!Custom e-mail title
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-openaccess-resources|open-access-upload-reminder-mail-body|Custom e-mail body|!!Custom e-mail body
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-openaccess-resources|open-access-upload-reminder-navigate-text|View the {size} research output that will trigger reminders|!!View the {size} research output that will trigger reminders
pure-templates/admin-templates/src/main/resources/META-INF/resources/cron/cron-templates-resources|scopusJournalsCronJob-description|This job updates/creates Scopus journals with metrics, publisher, titles, ASJC subject areas, CiteScore, Category metrics, and ISSNs from Scopus. In the job configuration below you can choose which data to update.|!!This job updates/creates Scopus journals with metrics, publisher, titles, ASJC subject areas, CiteScore, Category metrics, and ISSNs from Scopus. In the job configuration below you can choose which data to update.
pure-templates/admin-templates/src/main/resources/META-INF/resources/cron/cron-templates-resources|scopusPublicationJob-label|Scopus Publication Import/Update job|!!Scopus Publication Import/Update job
pure-templates/admin-templates/src/main/resources/META-INF/resources/cron/cron-templates-resources|scopusPublicationJob-description|Job for importing and updating publications from Scopus. The job will query Scopus for publications based on Scopus author IDs on persons. Any publications matched will be imported into Pure. Any publications already imported from Scopus will be checked for updates and updated automatically. The job should be configured to run once a week and, depending on the amount of publications found, the initial run can take 1-2 days to finish. Subsequent runs will check for new publications and updates since the job last ran and should take less time to finish. The bulk of the time spent on these runs will be querying the Scopus API.|!!Job for importing and updating publications from Scopus. The job will query Scopus for publications based on Scopus author IDs on persons. Any publications matched will be imported into Pure. Any publications already imported from Scopus will be checked for updates and updated automatically. The job should be configured to run once a week and, depending on the amount of publications found, the initial run can take 1-2 days to finish. Subsequent runs will check for new publications and updates since the job last ran and should take less time to finish. The bulk of the time spent on these runs will be querying the Scopus API.
pure-templates/admin-templates/src/main/resources/META-INF/resources/editor/dk/atira/pure/api/shared/model/person/editor/personeditor-resources|orcid-redirection-dialog-body-sync|<p>You will now be directed to the ORCID site where you can generate your ORCID ID (if you do not already have one) and/or authorise the export of content (e.g. research outputs) from Pure to your ORCID record.</p><p>Upon setup, Pure will export the following content immediately, and then subsequently automatically update it at a frequency determined by your Pure administrator:</p><ul><li>Institutional organisational affiliation</li><li>Other personal identifiers (e.g. Scopus author ID, Researcher ID)</li>{portalUrl}<li>Your research outputs, where:</li><ul><li>the publication status is '{publicationStatuses}'</li><li>the visibility of the record is '{public}'</li><li>the workflow step is at least '{workflow}'.</li></ul></ul>|!!<p>You will now be directed to the ORCID site where you can generate your ORCID ID (if you do not already have one) and/or authorise the export of content (e.g. research outputs) from Pure to your ORCID record.</p><p>Upon setup, Pure will export the following content immediately, and then subsequently automatically update it at a frequency determined by your Pure administrator:</p><ul><li>Institutional organisational affiliation</li><li>Other personal identifiers (e.g. Scopus author ID, Researcher ID)</li>{portalUrl}<li>Your research outputs, where:</li><ul><li>the publication status is '{publicationStatuses}'</li><li>the visibility of the record is '{public}'</li><li>the workflow step is at least '{workflow}'.</li></ul></ul>
pure-templates/admin-templates/src/main/resources/META-INF/resources/messaging/messaging-templates-resources|open-access-upload-reminder-message.title|You have {count} research output with potential for Open Access but without the required electronic file|!!You have {count} research output with potential for Open Access but without the required electronic file
pure-templates/admin-templates/src/main/resources/META-INF/resources/messaging/messaging-templates-resources|open-access-upload-reminder-message.listing|"<a href=""{link}"">View all ({count}) ›</a>"|"!!<a href=""{link}"">View all ({count}) ›</a>"
pure-templates/admin-templates/src/main/resources/META-INF/resources/component/dk/atira/pure/client/ui/component/openaccess/openaccesscomponentbackingbean-resources|openAccess-notSet|Not set|!!Not set
pure-templates/admin-templates/src/main/resources/security/template-security-resources|api-access|Allow API access|!!Allow API access
